ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),Ç³Çâ(deg),Ç³¼Ó(m/s),°­¼ö·®(mm),ÇöÁö±â¾Ð(hPa),ÇØ¸é±â¾Ð(hPa),½Àµµ(%)
752,¼­±¤,2021-01-04 21:00,5.9,20.1,1.6,0,,,54.6
752,¼­±¤,2021-01-04 22:00,7.3,6.4,1.8,0,,,51.1
752,¼­±¤,2021-01-04 23:00,6.2,11.4,1.8,0,,,56.1
752,¼­±¤,2021-01-05 00:00,6.4,33.1,2.1,0,,,61.4
752,¼­±¤,2021-01-05 01:00,6.4,10.9,2,0,,,62.9
752,¼­±¤,2021-01-05 02:00,6.2,2.4,1.6,0,,,62.1
752,¼­±¤,2021-01-05 03:00,5.9,9.3,1.9,0,,,61.3
752,¼­±¤,2021-01-05 04:00,6.6,7.1,2.9,0,,,59.2
752,¼­±¤,2021-01-05 05:00,4.6,12.5,2.8,0,,,69.9
752,¼­±¤,2021-01-05 06:00,6.1,13.3,2.9,0,,,70.2
752,¼­±¤,2021-01-05 07:00,6.4,13.8,3,0,,,76.1
752,¼­±¤,2021-01-05 08:00,6.8,9.6,3.2,0,,,74.4
752,¼­±¤,2021-01-05 09:00,6.1,348.4,1.4,.5,,,85.1
752,¼­±¤,2021-01-05 10:00,5.4,10.3,4.5,0,,,77.4
752,¼­±¤,2021-01-05 11:00,6,7.4,7.2,0,,,66.5
752,¼­±¤,2021-01-05 12:00,5.4,3.6,6.7,0,,,68.9
752,¼­±¤,2021-01-05 13:00,5,4.8,7.3,0,,,63
752,¼­±¤,2021-01-05 14:00,5.6,8,5.2,0,,,59.2
752,¼­±¤,2021-01-05 15:00,4.5,12.1,6,0,,,64
752,¼­±¤,2021-01-05 16:00,3.9,.2,6.6,0,,,67.5
752,¼­±¤,2021-01-05 17:00,3,1.4,3.4,0,,,65.2
752,¼­±¤,2021-01-05 18:00,2.3,.8,3.4,0,,,69.4
752,¼­±¤,2021-01-05 19:00,2,6.1,4.7,0,,,70.9
752,¼­±¤,2021-01-05 20:00,1.7,4.7,3.8,0,,,68.8
752,¼­±¤,2021-01-05 21:00,1.6,13.9,2.8,0,,,66.3
752,¼­±¤,2021-01-05 22:00,1.5,13,2.3,0,,,67.8
752,¼­±¤,2021-01-05 23:00,1.6,14.5,4.3,0,,,67.8
752,¼­±¤,2021-01-06 00:00,1.7,340.5,1.4,0,,,70.6
752,¼­±¤,2021-01-06 01:00,1.6,333.7,2.8,0,,,72.5
752,¼­±¤,2021-01-06 02:00,1.9,337.9,4.9,0,,,60.7
752,¼­±¤,2021-01-06 03:00,1.8,332,4.9,0,,,65.8
752,¼­±¤,2021-01-06 04:00,1.9,330.5,5,0,,,61.7
752,¼­±¤,2021-01-06 05:00,1.9,333.6,4.9,0,,,65
752,¼­±¤,2021-01-06 06:00,1.8,329.9,3.9,0,,,64.6
752,¼­±¤,2021-01-06 07:00,1.9,333.9,4.6,0,,,62.5
752,¼­±¤,2021-01-06 08:00,2,334.3,4.9,0,,,61.4
752,¼­±¤,2021-01-06 09:00,2.3,334.9,3.4,0,,,64.1
752,¼­±¤,2021-01-06 10:00,2.1,325.6,2.2,0,,,71
752,¼­±¤,2021-01-06 11:00,2.6,323.5,3.1,0,,,73.4
752,¼­±¤,2021-01-06 12:00,2,329.4,3.8,0,,,86.6
752,¼­±¤,2021-01-06 13:00,2.1,335,3.3,.5,,,77.9
752,¼­±¤,2021-01-06 14:00,4.2,329.7,3.7,0,,,57.8
752,¼­±¤,2021-01-06 15:00,3.6,322.9,3.7,0,,,48.2
752,¼­±¤,2021-01-06 16:00,2.7,324.1,4.3,0,,,48.8
752,¼­±¤,2021-01-06 17:00,2.5,329.7,5.6,0,,,53.3
752,¼­±¤,2021-01-06 18:00,2.3,328.1,3.1,0,,,57.1
752,¼­±¤,2021-01-06 19:00,2.3,326.7,2.5,0,,,61.6
752,¼­±¤,2021-01-06 20:00,2.5,318.5,1.9,0,,,63.7
752,¼­±¤,2021-01-06 21:00,3.1,290.7,1.2,0,,,60.7
752,¼­±¤,2021-01-06 22:00,2.8,291,1.4,0,,,71.4
752,¼­±¤,2021-01-06 23:00,2.9,297,3.7,0,,,77.8
752,¼­±¤,2021-01-07 00:00,1.8,319.2,6.4,1,,,87.5
752,¼­±¤,2021-01-07 01:00,1.3,314.6,5.4,0,,,75.3
752,¼­±¤,2021-01-07 02:00,.2,311.8,5.1,0,,,71.1
752,¼­±¤,2021-01-07 03:00,-.5,315,5,0,,,68.8
752,¼­±¤,2021-01-07 04:00,-.8,313.9,5.2,0,,,60.2
752,¼­±¤,2021-01-07 05:00,-2.1,321.9,5.8,0,,,85.3
752,¼­±¤,2021-01-07 06:00,-1.9,315.6,5.9,.5,,,62.5
752,¼­±¤,2021-01-07 07:00,-2,314.4,4.7,0,,,61.6
752,¼­±¤,2021-01-07 08:00,-2.5,320.5,4.8,.5,,,75.9
752,¼­±¤,2021-01-07 09:00,-2.3,324.6,5.8,0,,,59.6
752,¼­±¤,2021-01-07 10:00,-2.1,332,5.4,.5,,,77.2
752,¼­±¤,2021-01-07 11:00,-2.7,333.5,6.7,0,,,83.3
752,¼­±¤,2021-01-07 12:00,-2,333.6,6.9,.5,,,71.5
752,¼­±¤,2021-01-07 13:00,-1.1,333.6,6.4,0,,,58.9
752,¼­±¤,2021-01-07 14:00,-1.7,327.4,5.8,.5,,,68
752,¼­±¤,2021-01-07 15:00,-2,329.7,5.6,0,,,62.8
752,¼­±¤,2021-01-07 16:00,-2.2,333.8,5.9,0,,,59.2
752,¼­±¤,2021-01-07 17:00,-2.8,341,5.4,0,,,72.9
752,¼­±¤,2021-01-07 18:00,-3.1,329.1,4.4,0,,,70.3
752,¼­±¤,2021-01-07 19:00,-3.2,329.8,5.7,0,,,76.6
752,¼­±¤,2021-01-07 20:00,-3.2,332.8,6.3,0,,,79.5
752,¼­±¤,2021-01-07 21:00,-2.4,333.5,5.6,0,,,67.8
752,¼­±¤,2021-01-07 22:00,-2.4,334.6,5.8,.5,,,72.9
752,¼­±¤,2021-01-07 23:00,-3,334.8,3.9,.5,,,83.4
752,¼­±¤,2021-01-08 00:00,-2.6,330.5,5.4,0,,,71.8
752,¼­±¤,2021-01-08 01:00,-2.7,320.5,5.2,0,,,78.1
752,¼­±¤,2021-01-08 02:00,-2.9,331.8,6.6,.5,,,77.9
752,¼­±¤,2021-01-08 03:00,-2.8,327.3,5.6,0,,,65.1
752,¼­±¤,2021-01-08 04:00,-3.1,327.5,5.8,0,,,69.3
752,¼­±¤,2021-01-08 05:00,-3.4,319.2,5.2,.5,,,82.9
752,¼­±¤,2021-01-08 06:00,-2.9,317.9,4.5,0,,,67.2
752,¼­±¤,2021-01-08 07:00,-2.8,326,5.2,0,,,67.4
752,¼­±¤,2021-01-08 08:00,-2.9,337.1,6.1,.5,,,79.3
752,¼­±¤,2021-01-08 09:00,-2.2,321.1,3.3,.5,,,80.2
752,¼­±¤,2021-01-08 10:00,-1.9,335.6,6.1,0,,,72.7
752,¼­±¤,2021-01-08 11:00,-1.5,339.5,5.1,0,,,77.3
752,¼­±¤,2021-01-08 12:00,-1.7,309.2,4.4,.5,,,78.6
752,¼­±¤,2021-01-08 13:00,-.4,328.6,5.6,0,,,62.4
752,¼­±¤,2021-01-08 14:00,-1.8,324.4,5.4,0,,,80.8
752,¼­±¤,2021-01-08 15:00,-1.5,302,2.7,.5,,,81.2
752,¼­±¤,2021-01-08 16:00,-1.9,327.7,4.9,.5,,,86.9
752,¼­±¤,2021-01-08 17:00,-2.2,318.8,4.1,.5,,,87.2
752,¼­±¤,2021-01-08 18:00,-2.6,314.5,5.1,1,,,89.6
752,¼­±¤,2021-01-08 19:00,-2.6,325.5,6.3,.5,,,86.8
752,¼­±¤,2021-01-08 20:00,-2.4,331.2,6.7,.5,,,81.3
752,¼­±¤,2021-01-08 21:00,-2.3,327.1,5.7,.5,,,78.4
752,¼­±¤,2021-01-08 22:00,-2.3,313.3,4.5,.5,,,78.5
752,¼­±¤,2021-01-08 23:00,-1.4,330.9,6,.5,,,62.6
752,¼­±¤,2021-01-09 00:00,-1.2,332.7,6.5,0,,,58.8
752,¼­±¤,2021-01-09 01:00,-1.9,336.3,5.3,0,,,75.1
752,¼­±¤,2021-01-09 02:00,-1.9,338.9,3.9,0,,,74.2
752,¼­±¤,2021-01-09 03:00,-1.3,327,4.4,0,,,61.8
752,¼­±¤,2021-01-09 04:00,-1.4,315.9,3.7,0,,,64.7
752,¼­±¤,2021-01-09 05:00,-2,325.6,3.3,0,,,82.4
752,¼­±¤,2021-01-09 06:00,-1.6,328.5,4.7,.5,,,85.2
752,¼­±¤,2021-01-09 07:00,-1.6,329.5,4.1,.5,,,89.9
752,¼­±¤,2021-01-09 08:00,-1.3,317.3,2.8,1,,,86.8
752,¼­±¤,2021-01-09 09:00,-1.3,279.7,4.1,0,,,88.5
752,¼­±¤,2021-01-09 10:00,0,301.8,4,.5,,,77.8
752,¼­±¤,2021-01-09 11:00,.4,323.8,4.8,.5,,,86.1
752,¼­±¤,2021-01-09 12:00,0,335.7,6.3,.5,,,85.5
752,¼­±¤,2021-01-09 13:00,.7,314.4,4.3,.5,,,75.6
752,¼­±¤,2021-01-09 14:00,1.2,333.7,6.5,0,,,76.8
752,¼­±¤,2021-01-09 15:00,0,313.3,5.5,0,,,78.4
752,¼­±¤,2021-01-09 16:00,-.4,310.2,4.8,0,,,86.1
752,¼­±¤,2021-01-09 17:00,-.3,324,5.3,.5,,,86.9
752,¼­±¤,2021-01-09 18:00,0,319.2,3.6,.5,,,81.4
752,¼­±¤,2021-01-09 19:00,-.6,329,6.6,.5,,,87.4
752,¼­±¤,2021-01-09 20:00,.1,333.4,5.3,.5,,,86.3
752,¼­±¤,2021-01-09 21:00,.4,332.1,6.2,0,,,68
752,¼­±¤,2021-01-09 22:00,.4,330.3,5.1,0,,,71.6
752,¼­±¤,2021-01-09 23:00,-.1,3.9,2.1,0,,,72.4
752,¼­±¤,2021-01-10 00:00,-1.1,14.9,3.4,0,,,79.5
752,¼­±¤,2021-01-10 01:00,-1.4,10.7,3.4,0,,,82.9
752,¼­±¤,2021-01-10 02:00,-.7,6.9,2.9,0,,,80.2
752,¼­±¤,2021-01-10 03:00,-.5,5.3,3,0,,,80.2
752,¼­±¤,2021-01-10 04:00,.2,9.3,1.8,0,,,77.7
752,¼­±¤,2021-01-10 05:00,.1,6.5,3.1,0,,,83.1
752,¼­±¤,2021-01-10 06:00,.7,8,2.7,0,,,77.5
752,¼­±¤,2021-01-10 07:00,1.1,339.8,2.3,0,,,77.1
752,¼­±¤,2021-01-10 08:00,1.3,0,.2,0,,,77.6
752,¼­±¤,2021-01-10 09:00,1.9,327.3,2.2,0,,,78.9
752,¼­±¤,2021-01-10 10:00,1.5,351,1.8,0,,,87.9
752,¼­±¤,2021-01-10 11:00,2.5,338.8,2.5,,,,80.6
752,¼­±¤,2021-01-10 12:00,2.1,323.4,2.4,,,,80.8
752,¼­±¤,2021-01-10 13:00,2.7,343.1,2.8,,,,83.8
752,¼­±¤,2021-01-10 14:00,2.7,316.5,3,,,,78.6
752,¼­±¤,2021-01-10 15:00,2,328.5,4.6,,,,83.6
752,¼­±¤,2021-01-10 16:00,2.7,326.9,2.2,,,,80.7
752,¼­±¤,2021-01-10 17:00,2.5,327.3,2.6,,,,81.6
752,¼­±¤,2021-01-10 18:00,2.5,326.5,3.9,,,,79.6
752,¼­±¤,2021-01-10 19:00,3.1,332.6,4.9,,,,66.7
752,¼­±¤,2021-01-10 20:00,3,333.4,4.7,,,,66
752,¼­±¤,2021-01-10 21:00,2.9,335.7,3.8,,,,57.1
752,¼­±¤,2021-01-10 22:00,3,333.8,3.1,,,,55
752,¼­±¤,2021-01-10 23:00,3.1,332.3,2.8,,,,58.3
752,¼­±¤,2021-01-11 00:00,3,337.7,2.3,,,,59.3
752,¼­±¤,2021-01-11 01:00,3,342.4,2.2,0,,,58.6
752,¼­±¤,2021-01-11 02:00,2.7,328.8,.7,0,,,61.9
752,¼­±¤,2021-01-11 03:00,3.3,338.9,2.1,0,,,58.6
752,¼­±¤,2021-01-11 04:00,3.2,4.3,.7,0,,,61.2
752,¼­±¤,2021-01-11 05:00,3.1,345.8,.8,0,,,64.3
752,¼­±¤,2021-01-11 06:00,3.1,11.7,2.2,0,,,67.5
752,¼­±¤,2021-01-11 07:00,2.5,7.1,1.6,0,,,70.9
752,¼­±¤,2021-01-11 08:00,3,.3,1.9,0,,,69.3
752,¼­±¤,2021-01-11 09:00,3.5,344.1,2.3,0,,,71.9
752,¼­±¤,2021-01-11 10:00,2.6,359.7,3.8,0,,,87.3
752,¼­±¤,2021-01-11 11:00,3,6.6,4.9,.5,,,88.4
752,¼­±¤,2021-01-11 12:00,3.9,13.7,3.2,0,,,76
752,¼­±¤,2021-01-11 13:00,4.1,5.1,4.7,0,,,73.5
752,¼­±¤,2021-01-11 14:00,4.1,9.4,3.8,0,,,73.8
752,¼­±¤,2021-01-11 15:00,3.8,5.6,3.7,0,,,72.1
752,¼­±¤,2021-01-11 16:00,3.5,4.3,3.4,0,,,72.4
752,¼­±¤,2021-01-11 17:00,3.6,0,0,0,,,72.4
752,¼­±¤,2021-01-11 18:00,2.9,13.4,2,0,,,74
752,¼­±¤,2021-01-11 19:00,3.2,8.9,1.9,0,,,72.7
752,¼­±¤,2021-01-11 20:00,1.2,359.5,3.3,2,,,93.7
752,¼­±¤,2021-01-11 21:00,1.3,343.3,2,2,,,93.7
752,¼­±¤,2021-01-11 22:00,1.4,9.4,2.9,1,,,93.3
752,¼­±¤,2021-01-11 23:00,1.2,332.9,3.4,1.5,,,93.8
752,¼­±¤,2021-01-12 00:00,1.4,337.2,4.3,1,,,93.1
752,¼­±¤,2021-01-12 01:00,1.5,339.7,5.8,.5,,,94.3
752,¼­±¤,2021-01-12 02:00,1.1,4.5,2.2,0,,,92.8
752,¼­±¤,2021-01-12 03:00,1.5,337.6,5.5,.5,,,86.5
752,¼­±¤,2021-01-12 04:00,1.4,330.6,4.2,0,,,83.2
752,¼­±¤,2021-01-12 05:00,1.6,349.9,2.1,0,,,76.2
752,¼­±¤,2021-01-12 06:00,1.7,336.2,3.7,0,,,72.2
752,¼­±¤,2021-01-12 07:00,1.7,338.3,4,0,,,72.8
752,¼­±¤,2021-01-12 08:00,1.8,336.6,3.2,0,,,74.9
752,¼­±¤,2021-01-12 09:00,2,337.7,1.6,0,,,73.9
752,¼­±¤,2021-01-12 10:00,1.1,299.3,.6,0,,,89.8
752,¼­±¤,2021-01-12 11:00,1.9,356.7,2.4,.5,,,91.2
752,¼­±¤,2021-01-12 12:00,3.7,19.4,3,.5,,,82.1
752,¼­±¤,2021-01-12 13:00,2.2,338.6,1.9,0,,,81.5
752,¼­±¤,2021-01-12 14:00,4,338.9,.8,1.5,,,88.9
752,¼­±¤,2021-01-12 15:00,3.7,347.9,2.4,0,,,82.7
752,¼­±¤,2021-01-12 16:00,4.1,277.2,2.8,0,,,70.5
752,¼­±¤,2021-01-12 17:00,3.7,280.6,1.4,0,,,69.5
752,¼­±¤,2021-01-12 18:00,3.2,0,.1,0,,,70.4
752,¼­±¤,2021-01-12 19:00,3.4,284.6,.7,0,,,68.5
752,¼­±¤,2021-01-12 20:00,2.8,0,.1,0,,,69.2
752,¼­±¤,2021-01-12 21:00,2.6,0,0,0,,,69.2
752,¼­±¤,2021-01-12 22:00,1.7,0,.3,0,,,71.8
752,¼­±¤,2021-01-12 23:00,2.6,304.9,.8,0,,,70.3
752,¼­±¤,2021-01-13 00:00,3.1,295.6,1.1,0,,,68.6
752,¼­±¤,2021-01-13 01:00,3.1,0,.4,0,,,70
752,¼­±¤,2021-01-13 02:00,3.6,0,.3,0,,,69.4
752,¼­±¤,2021-01-13 03:00,4.2,0,.1,0,,,67.2
752,¼­±¤,2021-01-13 04:00,5,274.5,1.1,0,,,64.4
752,¼­±¤,2021-01-13 05:00,5.6,274.1,.5,0,,,61.5
752,¼­±¤,2021-01-13 06:00,5.9,256.4,1,0,,,60.8
752,¼­±¤,2021-01-13 07:00,4.7,0,.2,0,,,63.7
752,¼­±¤,2021-01-13 08:00,5.4,0,0,0,,,64.2
752,¼­±¤,2021-01-13 09:00,7.5,0,0,0,,,58
752,¼­±¤,2021-01-13 10:00,9.8,232.3,1.7,0,,,51.3
752,¼­±¤,2021-01-13 11:00,10.3,224.1,3.6,0,,,47.4
752,¼­±¤,2021-01-13 12:00,10.9,223.6,3.9,0,,,47.8
752,¼­±¤,2021-01-13 13:00,10.6,231.1,3.9,0,,,54.6
752,¼­±¤,2021-01-13 14:00,11,222.1,4.1,0,,,55.1
752,¼­±¤,2021-01-13 15:00,11.1,213.4,3.4,0,,,55.6
752,¼­±¤,2021-01-13 16:00,10.9,217.1,3.3,0,,,49.3
752,¼­±¤,2021-01-13 17:00,9.9,234.8,1.6,0,,,53.2
752,¼­±¤,2021-01-13 18:00,8.7,217.2,.7,0,,,54.4
752,¼­±¤,2021-01-13 19:00,6.7,0,0,0,,,58.4
752,¼­±¤,2021-01-13 20:00,3.6,0,0,0,,,71.2
752,¼­±¤,2021-01-13 21:00,4.3,0,0,0,,,70.3
752,¼­±¤,2021-01-13 22:00,3.4,0,0,0,,,75.7
752,¼­±¤,2021-01-13 23:00,3.8,0,0,0,,,78.6
752,¼­±¤,2021-01-14 00:00,3.9,0,0,0,,,83.8
752,¼­±¤,2021-01-14 01:00,3.4,0,0,0,,,85
752,¼­±¤,2021-01-14 02:00,4.1,0,0,0,,,86.7
752,¼­±¤,2021-01-14 03:00,3.9,0,.2,0,,,87.8
752,¼­±¤,2021-01-14 04:00,3.5,0,.1,0,,,87.2
752,¼­±¤,2021-01-14 05:00,2.9,0,.2,0,,,91.5
752,¼­±¤,2021-01-14 06:00,2.9,0,0,0,,,92.9
752,¼­±¤,2021-01-14 07:00,3.1,32.7,1.7,0,,,91
752,¼­±¤,2021-01-14 08:00,4.2,34.1,2.5,0,,,86.5
752,¼­±¤,2021-01-14 09:00,7,49.5,.6,0,,,79.4
752,¼­±¤,2021-01-14 10:00,10.8,121.7,1.2,0,,,62
752,¼­±¤,2021-01-14 11:00,12.1,0,.1,0,,,58.5
752,¼­±¤,2021-01-14 12:00,12.6,144.4,.6,0,,,48.8
752,¼­±¤,2021-01-14 13:00,13.5,176.7,2,0,,,48.7
752,¼­±¤,2021-01-14 14:00,13,142.3,3.3,0,,,54.6
752,¼­±¤,2021-01-14 15:00,13.2,160.7,3.2,0,,,48.6
752,¼­±¤,2021-01-14 16:00,12.8,145.9,4.1,0,,,55.5
752,¼­±¤,2021-01-14 17:00,12,166.4,2.7,0,,,64
752,¼­±¤,2021-01-14 18:00,11.2,159.3,2.3,0,,,69.2
752,¼­±¤,2021-01-14 19:00,9.7,134.1,1.3,0,,,75.6
752,¼­±¤,2021-01-14 20:00,9.3,104.6,2.3,0,,,76.1
752,¼­±¤,2021-01-14 21:00,9.1,105.2,2.1,0,,,79.2
752,¼­±¤,2021-01-14 22:00,8.9,111,1.8,0,,,80.8
752,¼­±¤,2021-01-14 23:00,9,107.8,1.8,0,,,82
752,¼­±¤,2021-01-15 00:00,10.9,150.7,3.2,0,,,76.6
752,¼­±¤,2021-01-15 01:00,11.3,153.6,4,0,,,73.3
752,¼­±¤,2021-01-15 02:00,11.4,157.6,3.8,0,,,70
752,¼­±¤,2021-01-15 03:00,11.2,160.5,2.8,0,,,71.6
752,¼­±¤,2021-01-15 04:00,11.1,162.2,2.2,0,,,73.7
752,¼­±¤,2021-01-15 05:00,11.1,164.3,2.4,0,,,75.7
752,¼­±¤,2021-01-15 06:00,11.4,172.9,2.3,0,,,76.5
752,¼­±¤,2021-01-15 07:00,11.6,171.4,2.4,0,,,74.5
752,¼­±¤,2021-01-15 08:00,12.1,178.2,3.3,0,,,73.9
752,¼­±¤,2021-01-15 09:00,12.7,169,2.5,0,,,73.6
752,¼­±¤,2021-01-15 10:00,13.3,182.6,4,0,,,71
752,¼­±¤,2021-01-15 11:00,13.8,183.1,3.9,0,,,70.6
752,¼­±¤,2021-01-15 12:00,14.7,190.5,3.9,0,,,66.4
752,¼­±¤,2021-01-15 13:00,15,199.4,3.7,0,,,61.4
