瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
862,价寸,2021-01-02 04:00,4.7,282.7,2.5,0,1001,1025.4,71.1
862,价寸,2021-01-02 05:00,4.6,268.1,2.6,0,1001.1,1025.5,71.5
862,价寸,2021-01-02 06:00,4.7,284.2,2.9,0,1001.3,1025.7,68.5
862,价寸,2021-01-02 07:00,4.6,287.3,2.8,0,1001.8,1026.2,70.6
862,价寸,2021-01-02 08:00,4.7,278.9,2.9,0,1002.1,1026.5,64.5
862,价寸,2021-01-02 09:00,4.9,294.7,2.3,0,1002.5,1026.9,71.8
862,价寸,2021-01-02 10:00,5.5,282.5,2.5,0,1003,1027.3,65.1
862,价寸,2021-01-02 11:00,6.3,281.1,3,0,1002.6,1026.8,64.9
862,价寸,2021-01-02 12:00,5,312.9,2.8,0,1002.5,1026.9,86.4
862,价寸,2021-01-02 13:00,4.9,317.1,3.5,0,1002.3,1026.7,87.5
862,价寸,2021-01-02 14:00,5.5,321.8,3.4,0,1001.8,1026.1,81.2
862,价寸,2021-01-02 15:00,5.1,309.5,3.6,0,1002.1,1026.4,81
862,价寸,2021-01-02 16:00,4.6,312.7,4.6,0,1003.4,1027.8,80.1
862,价寸,2021-01-02 17:00,3.7,312.5,4.3,0,1003.8,1028.3,81.8
862,价寸,2021-01-02 18:00,2.8,312.1,4.5,0,1004.7,1029.3,79.8
862,价寸,2021-01-02 19:00,2.2,310.4,3.8,0,1005.3,1030,75.3
862,价寸,2021-01-02 20:00,1.5,314.3,3.4,0,1006,1030.8,73.7
862,价寸,2021-01-02 21:00,.6,316.5,2.1,0,1005.6,1030.4,78.2
862,价寸,2021-01-02 22:00,.9,326.1,2.6,0,1005.5,1030.3,71.9
862,价寸,2021-01-02 23:00,.4,302.9,2.6,0,1006.3,1031.2,78
862,价寸,2021-01-03 00:00,.1,299.3,2.9,0,1007,1031.9,82.3
862,价寸,2021-01-03 01:00,.2,296.6,3.4,0,1007.3,1032.2,81.4
862,价寸,2021-01-03 02:00,.7,312.5,3.5,0,1007.3,1032.2,80.9
862,价寸,2021-01-03 03:00,.9,305.5,3.4,0,1007.2,1032,81.6
862,价寸,2021-01-03 04:00,.9,310.8,2.9,0,1007.5,1032.4,81.5
862,价寸,2021-01-03 05:00,.9,312.1,2.4,0,1007.8,1032.7,81.3
862,价寸,2021-01-03 06:00,1.2,318.6,2.8,0,1008.3,1033.1,80.1
862,价寸,2021-01-03 07:00,1.3,316.7,3.2,0,1008.5,1033.3,79
862,价寸,2021-01-03 08:00,1,311.4,2.7,0,1008.6,1033.5,79.5
862,价寸,2021-01-03 09:00,1.5,316.1,2.6,0,1008.5,1033.3,78
862,价寸,2021-01-03 10:00,2.9,320.5,4,0,1009.1,1033.8,73
862,价寸,2021-01-03 11:00,3.5,308,4.3,0,1009.2,1033.8,72.7
862,价寸,2021-01-03 12:00,3.7,322.7,3.8,0,1008.3,1032.9,73.9
862,价寸,2021-01-03 13:00,4,304.3,4.8,0,1008,1032.5,70.5
862,价寸,2021-01-03 14:00,4.3,322.6,4.1,0,1007.2,1031.7,72.4
862,价寸,2021-01-03 15:00,3.8,308.8,4.2,0,1007.9,1032.5,72.6
862,价寸,2021-01-03 16:00,3.5,311.4,3.8,0,1006.9,1031.5,75.4
862,价寸,2021-01-03 17:00,3.1,313.3,2.7,0,1007.2,1031.8,76.9
862,价寸,2021-01-03 18:00,3,306.5,2.5,0,1007.6,1032.2,74.2
862,价寸,2021-01-03 19:00,2,272.8,2.1,0,1007.7,1032.4,79.2
862,价寸,2021-01-03 20:00,2.5,292.7,2.5,0,1008.1,1032.8,78.5
862,价寸,2021-01-03 21:00,2.7,304.1,2.4,0,1008.1,1032.8,74.6
862,价寸,2021-01-03 22:00,2.8,290.6,2.5,0,1008,1032.7,72.8
862,价寸,2021-01-03 23:00,2.6,276.4,2.1,0,1007.8,1032.5,73.1
862,价寸,2021-01-04 00:00,2.6,299.9,2,0,1007.6,1032.3,69
862,价寸,2021-01-04 01:00,2.4,301.6,1.7,0,1007.7,1032.4,70.3
862,价寸,2021-01-04 02:00,1.5,267.7,1.3,0,1007.8,1032.6,77
862,价寸,2021-01-04 03:00,1.4,254.5,2,0,1008.2,1033,78.6
862,价寸,2021-01-04 04:00,.9,248.1,1.6,0,1008.4,1033.3,79.9
862,价寸,2021-01-04 05:00,0,252,1.2,0,1007.3,1032.2,85.7
862,价寸,2021-01-04 06:00,.5,256.1,1.8,0,1007.2,1032.1,86.1
862,价寸,2021-01-04 07:00,.3,263.8,.5,0,1006.9,1031.8,86.4
862,价寸,2021-01-04 08:00,-.4,237.1,.9,0,1006.2,1031.2,93.7
862,价寸,2021-01-04 09:00,2.3,0,.4,0,1006.6,1031.3,87.6
862,价寸,2021-01-04 10:00,5.6,21.7,1.3,0,1006.2,1030.6,69.6
862,价寸,2021-01-04 11:00,6.8,335.9,2.6,0,1007.9,1032.2,69
862,价寸,2021-01-04 12:00,6.7,358.7,3.2,0,1006.7,1031,70.5
862,价寸,2021-01-04 13:00,6.9,349.4,3.1,0,1005.8,1030,68.5
862,价寸,2021-01-04 14:00,7.5,1.6,2.8,0,1005.1,1029.2,66.8
862,价寸,2021-01-04 15:00,7.5,1.3,2.8,0,1004.3,1028.4,66.4
862,价寸,2021-01-04 16:00,6.9,28.8,1.9,0,1003.8,1028,68
862,价寸,2021-01-04 17:00,6.3,27.4,.7,0,1004.1,1028.3,69.4
862,价寸,2021-01-04 18:00,2.9,0,.3,0,1004.4,1029,89.8
862,价寸,2021-01-04 19:00,3.4,208.7,.5,0,1004.7,1029.2,90.3
862,价寸,2021-01-04 20:00,3.8,243.4,1.2,0,1004.9,1029.4,87.4
862,价寸,2021-01-04 21:00,3,249.5,1.1,0,1005,1029.6,90.5
862,价寸,2021-01-04 22:00,3.3,246.5,1.6,0,1004.6,1029.1,89.7
862,价寸,2021-01-04 23:00,2.7,237.7,.7,0,1004.1,1028.7,91.7
862,价寸,2021-01-05 00:00,3.3,247,1.2,0,1004,1028.5,89.8
862,价寸,2021-01-05 01:00,2.9,234.5,1.2,0,1004.1,1028.7,90.2
862,价寸,2021-01-05 02:00,4.1,255.8,1.8,0,1003.9,1028.3,87.6
862,价寸,2021-01-05 03:00,4.5,227.6,1.5,0,1003.5,1027.9,86.5
862,价寸,2021-01-05 04:00,5.2,252.3,2.1,0,1003,1027.3,78.6
862,价寸,2021-01-05 05:00,5.5,245.1,1.6,0,1002.4,1026.7,79.3
862,价寸,2021-01-05 06:00,6,251.3,2.3,0,1002.3,1026.5,82.2
862,价寸,2021-01-05 07:00,6.2,307.3,1.9,0,1002.2,1026.4,92.6
862,价寸,2021-01-05 08:00,6.5,333.4,2.8,0,1003,1027.2,88.6
862,价寸,2021-01-05 09:00,5.7,331.8,3,0,1004.5,1028.8,89.7
862,价寸,2021-01-05 10:00,4.6,328.2,4.2,0,1004.7,1029.2,83.9
862,价寸,2021-01-05 11:00,4.8,323.4,4.1,0,1004.2,1028.6,80
862,价寸,2021-01-05 12:00,4.7,314.6,4.4,0,1003.5,1027.9,76.1
862,价寸,2021-01-05 13:00,4.3,310.9,4.6,0,1002.8,1027.2,77.4
862,价寸,2021-01-05 14:00,4.3,307.5,4.5,0,1002.1,1026.5,78.9
862,价寸,2021-01-05 15:00,3.9,311.8,3.9,0,1002.1,1026.5,78.5
862,价寸,2021-01-05 16:00,3.6,312.8,3.8,0,1001.9,1026.3,77.2
862,价寸,2021-01-05 17:00,2.8,306.4,4.4,0,1002.6,1027.1,79
862,价寸,2021-01-05 18:00,1.8,303.4,4.2,0,1003,1027.6,81.2
862,价寸,2021-01-05 19:00,1.4,299.1,4.9,0,1003.6,1028.3,77.1
862,价寸,2021-01-05 20:00,.9,298.6,4.8,0,1003.6,1028.4,79.9
862,价寸,2021-01-05 21:00,.7,304.2,4.4,0,1004.3,1029.1,79.1
862,价寸,2021-01-05 22:00,.7,309.5,3.8,0,1003.7,1028.5,80.7
862,价寸,2021-01-05 23:00,.6,316.1,3.2,0,1003.6,1028.4,82.9
862,价寸,2021-01-06 00:00,.6,316.8,3.2,0,1003.6,1028.4,81.2
862,价寸,2021-01-06 01:00,.5,318.4,3.2,0,1003.7,1028.5,84.1
862,价寸,2021-01-06 02:00,.6,318.1,2.8,0,1003.3,1028.1,86.3
862,价寸,2021-01-06 03:00,.5,324.7,4.1,0,1002.2,1027,86.5
862,价寸,2021-01-06 04:00,.1,318,3.7,0,1002.2,1027,93.4
862,价寸,2021-01-06 05:00,-.3,333.2,3.7,0,1001.7,1026.5,95
862,价寸,2021-01-06 06:00,.5,299.6,3.6,.5,1001.8,1026.6,93.9
862,价寸,2021-01-06 07:00,-.1,320.2,2.5,0,1001.8,1026.6,98.3
862,价寸,2021-01-06 08:00,-.1,322.4,2.7,.5,1001.9,1026.7,99.9
862,价寸,2021-01-06 09:00,.6,300.6,2.2,.5,1002.3,1027.1,99.5
862,价寸,2021-01-06 10:00,1.3,347.7,1.7,0,1002,1026.7,91.4
862,价寸,2021-01-06 11:00,1.5,301.7,2.5,0,1001.9,1026.6,83.7
862,价寸,2021-01-06 12:00,1.3,300,1.5,0,1000.7,1025.3,96.6
862,价寸,2021-01-06 13:00,2.4,285.2,4.6,0,998.5,1023,82.2
862,价寸,2021-01-06 14:00,3.2,286.3,5.2,0,998.3,1022.7,74.1
862,价寸,2021-01-06 15:00,3.3,288.9,5.8,0,998,1022.4,65
862,价寸,2021-01-06 16:00,2.6,291.1,5.2,0,998.4,1022.8,64
862,价寸,2021-01-06 17:00,2.1,294.4,5,0,998.5,1023,64.8
862,价寸,2021-01-06 18:00,2.1,297.9,4.5,0,998.1,1022.6,65.8
862,价寸,2021-01-06 19:00,2.2,285.3,4.3,0,998.4,1022.9,69.1
862,价寸,2021-01-06 20:00,2.5,285.5,5,0,999.2,1023.7,64.3
862,价寸,2021-01-06 21:00,2.4,272.3,2.7,0,998.5,1023,68.6
862,价寸,2021-01-06 22:00,2.5,265.7,2.9,0,997.6,1022,74.7
862,价寸,2021-01-06 23:00,2.1,274.7,5.4,0,996.9,1021.4,87.6
862,价寸,2021-01-07 00:00,2.4,288.9,6.4,1,997.4,1021.8,94.2
862,价寸,2021-01-07 01:00,1.5,290.3,6.4,0,998.4,1023,87.3
862,价寸,2021-01-07 02:00,.3,295.6,7.3,0,998.6,1023.3,77.9
862,价寸,2021-01-07 03:00,-.6,291.7,7.4,0,998.3,1023.1,78.3
862,价寸,2021-01-07 04:00,-.9,283,8.1,0,997.9,1022.7,69.3
862,价寸,2021-01-07 05:00,-1.6,300,7.8,.5,997.7,1022.5,79.9
862,价寸,2021-01-07 06:00,-2.2,288.7,7.9,0,998.1,1023,75.1
862,价寸,2021-01-07 07:00,-3,306.8,7.3,0,998.6,1023.6,89.5
862,价寸,2021-01-07 08:00,-2.9,291.9,8.4,0,999.1,1024.1,89.3
862,价寸,2021-01-07 09:00,-3.2,299.5,5,.5,1000.1,1025.2,96.5
862,价寸,2021-01-07 10:00,-3.6,307.6,5.6,.5,1000.7,1025.8,97.2
862,价寸,2021-01-07 11:00,-3.9,309,5,1,1000.3,1025.4,97.1
862,价寸,2021-01-07 12:00,-3.9,315.5,4.9,0,999.7,1024.8,94.3
862,价寸,2021-01-07 13:00,-4.3,312.1,5.9,.5,999.5,1024.7,93.8
862,价寸,2021-01-07 14:00,-3.9,315.3,5.1,.5,999.3,1024.4,91.4
862,价寸,2021-01-07 15:00,-3.7,316.5,5.4,0,999.4,1024.5,83.6
862,价寸,2021-01-07 16:00,-4.2,314.1,4.8,.5,999.5,1024.7,93.4
862,价寸,2021-01-07 17:00,-4.6,304.7,2.5,.5,999.4,1024.6,95.7
862,价寸,2021-01-07 18:00,-4.6,346.4,2.7,.5,999.6,1024.8,97.9
862,价寸,2021-01-07 19:00,-4.7,343,3.1,.5,1000.1,1025.3,99.2
862,价寸,2021-01-07 20:00,-4.8,330.6,1.8,1,1000.1,1025.3,99.1
862,价寸,2021-01-07 21:00,-4.4,304.9,2.8,.5,1000.5,1025.7,95.8
862,价寸,2021-01-07 22:00,-4.1,325,2.8,1,1000.1,1025.3,98.4
862,价寸,2021-01-07 23:00,-4,317.3,3.8,1.5,999.8,1024.9,99.9
862,价寸,2021-01-08 00:00,-3.7,307.6,1.9,1,999.5,1024.6,99.9
862,价寸,2021-01-08 01:00,-3.5,292.7,3.5,.5,999.3,1024.4,92.1
862,价寸,2021-01-08 02:00,-3.3,293.2,4,0,999.3,1024.4,92.6
862,价寸,2021-01-08 03:00,-3.4,294.8,6.1,0,999.2,1024.3,84.3
862,价寸,2021-01-08 04:00,-3.5,290.9,5,0,999,1024.1,80.3
862,价寸,2021-01-08 05:00,-3.4,298.2,4.4,0,998.7,1023.8,84.6
862,价寸,2021-01-08 06:00,-3.8,305.2,4.8,0,999.1,1024.2,88.7
862,价寸,2021-01-08 07:00,-2.6,299.8,5.5,.5,998.7,1023.7,70.5
862,价寸,2021-01-08 08:00,-2.6,307.1,4.7,0,998.8,1023.8,75.9
862,价寸,2021-01-08 09:00,-4.1,313.2,2.8,1.5,999.5,1024.6,99.9
862,价寸,2021-01-08 10:00,-3.8,312.7,3.5,2,999.8,1024.9,95.2
862,价寸,2021-01-08 11:00,-3.2,312.7,3.7,0,999.6,1024.7,84
862,价寸,2021-01-08 12:00,-2.2,310.4,4,0,998.6,1023.5,84.9
862,价寸,2021-01-08 13:00,-2.2,297.7,5.1,0,997.5,1022.4,83
862,价寸,2021-01-08 14:00,-1.8,297,4.7,0,996.7,1021.5,87.9
862,价寸,2021-01-08 15:00,-1.5,288.1,4.3,.5,996.2,1021,93.6
862,价寸,2021-01-08 16:00,-2.1,302.3,5.5,0,996.5,1021.4,93.7
862,价寸,2021-01-08 17:00,-1.6,289.4,5.8,.5,996.5,1021.3,85
862,价寸,2021-01-08 18:00,-2.1,290.9,5.7,.5,996.8,1021.7,86.4
862,价寸,2021-01-08 19:00,-1.7,296.7,6.2,0,997.1,1021.9,83
862,价寸,2021-01-08 20:00,-1.5,292.4,6.8,0,997.5,1022.3,64.9
862,价寸,2021-01-08 21:00,-1.8,291.6,6.4,0,997.8,1022.7,68.6
862,价寸,2021-01-08 22:00,-2.6,296.3,3.8,0,998.2,1023.2,91.4
862,价寸,2021-01-08 23:00,-3.1,289.1,4.2,1,998.5,1023.5,93.7
862,价寸,2021-01-09 00:00,-3.4,291.7,4.5,0,998.7,1023.8,90.4
862,价寸,2021-01-09 01:00,-2.9,320.2,3.3,.5,998.5,1023.5,82.7
862,价寸,2021-01-09 02:00,-2.9,298.6,3.9,0,998.7,1023.7,77.5
862,价寸,2021-01-09 03:00,-2.6,307.4,3.4,0,998.9,1023.9,73.2
862,价寸,2021-01-09 04:00,-3.2,299.2,3.9,.5,998.5,1023.5,97.3
862,价寸,2021-01-09 05:00,-2.1,282.4,3.3,0,997.7,1022.6,86
862,价寸,2021-01-09 06:00,-2.1,265.7,3,0,997.7,1022.6,95.1
862,价寸,2021-01-09 07:00,-1.9,298.1,4.9,.5,997.7,1022.6,92.1
862,价寸,2021-01-09 08:00,-.7,291.6,4.9,.5,997.9,1022.7,79.6
862,价寸,2021-01-09 09:00,-.6,284.7,4.1,0,998.3,1023.1,88
862,价寸,2021-01-09 10:00,-.8,293.1,5.2,.5,998.8,1023.6,89.4
862,价寸,2021-01-09 11:00,-.1,298.2,6.8,0,998.6,1023.3,79.3
862,价寸,2021-01-09 12:00,1,295.8,7.8,0,997.8,1022.4,71
862,价寸,2021-01-09 13:00,.5,299.3,6.7,0,997.1,1021.7,81.5
862,价寸,2021-01-09 14:00,-.4,300.7,4.7,0,997,1021.7,91.7
862,价寸,2021-01-09 15:00,-.7,303.5,5.4,0,997.7,1022.5,96.4
862,价寸,2021-01-09 16:00,.3,298.9,5.1,.5,997.8,1022.5,84
862,价寸,2021-01-09 17:00,-.6,293.8,5.4,.5,997.9,1022.6,96.1
862,价寸,2021-01-09 18:00,-.7,304.7,4.6,0,998.4,1023.2,94.8
862,价寸,2021-01-09 19:00,-1.1,304.5,4.4,.5,998.8,1023.6,99.3
862,价寸,2021-01-09 20:00,.8,300,5.4,0,999.6,1024.3,75.8
862,价寸,2021-01-09 21:00,0,311.6,5.1,0,1000,1024.8,73.7
862,价寸,2021-01-09 22:00,-1,313.3,3.7,0,1000.8,1025.7,84.4
862,价寸,2021-01-09 23:00,-1.4,313.7,3.4,0,1001.4,1026.3,87
862,价寸,2021-01-10 00:00,-1.5,315.5,2.9,0,1002,1026.9,84
862,价寸,2021-01-10 01:00,-1.2,316.3,2.5,0,1002,1026.9,85.4
862,价寸,2021-01-10 02:00,-1.2,318.7,2.6,0,1002.3,1027.2,82.5
862,价寸,2021-01-10 03:00,-.9,314.1,2,0,1002.7,1027.6,83.7
862,价寸,2021-01-10 04:00,-.8,321.4,2.3,0,1002.3,1027.2,84.1
862,价寸,2021-01-10 05:00,-.5,299.7,1.9,0,1002,1026.8,84.9
862,价寸,2021-01-10 06:00,-1.3,0,.4,0,1002.1,1027,88.9
862,价寸,2021-01-10 07:00,-.2,214.3,1.5,0,1002.5,1027.4,90.2
862,价寸,2021-01-10 08:00,-.4,201.3,1.2,0,1002.6,1027.5,93.9
862,价寸,2021-01-10 09:00,.5,260.2,1.8,0,1003,1027.8,97
862,价寸,2021-01-10 10:00,1.5,294.6,2.5,,1003.4,1028.1,92.1
862,价寸,2021-01-10 11:00,2.3,262,1.9,,1003.3,1027.9,87.6
862,价寸,2021-01-10 12:00,2.6,241.9,2.6,,1002.5,1027,81.7
862,价寸,2021-01-10 13:00,2.6,245.6,3.3,,1001.7,1026.2,81.2
862,价寸,2021-01-10 14:00,2.3,238.5,2.3,,1001.6,1026.2,89.4
862,价寸,2021-01-10 15:00,2.9,281.2,4.7,,1001.7,1026.2,80.4
862,价寸,2021-01-10 16:00,3.1,284.5,4.9,,1001.8,1026.3,76.4
862,价寸,2021-01-10 17:00,3.3,282.3,3.8,,1001.7,1026.2,73.1
862,价寸,2021-01-10 18:00,2.3,303.9,2.3,,1002.1,1026.7,87.1
862,价寸,2021-01-10 19:00,3.2,302,4.6,,1002.5,1027,70.7
862,价寸,2021-01-10 20:00,3.1,308.5,3.9,,1003,1027.5,72.9
862,价寸,2021-01-10 21:00,2.9,314.7,3,,1003.3,1027.8,68.4
862,价寸,2021-01-10 22:00,2.7,314,2.9,,1003.3,1027.9,68.5
862,价寸,2021-01-10 23:00,2.7,331.9,2.7,,1003.2,1027.8,72.8
862,价寸,2021-01-11 00:00,2.4,319.9,1.8,,1002.8,1027.4,73.4
862,价寸,2021-01-11 01:00,2.4,302.6,1.8,0,1003.1,1027.7,71.2
862,价寸,2021-01-11 02:00,1.4,177.2,.6,0,1004.1,1028.8,83
862,价寸,2021-01-11 03:00,2,190.4,1.8,0,1004,1028.6,77.3
862,价寸,2021-01-11 04:00,1.9,220.3,1.4,0,1003.5,1028.1,79.2
862,价寸,2021-01-11 05:00,.9,192,.7,0,1002.5,1027.2,88.4
862,价寸,2021-01-11 06:00,2.1,219,1.3,0,1002.9,1027.5,83.3
862,价寸,2021-01-11 07:00,2,310.4,1.3,0,1002,1026.6,82.8
862,价寸,2021-01-11 08:00,.9,237.4,1.1,0,1001.1,1025.8,87.8
862,价寸,2021-01-11 09:00,2.6,292.1,3.2,0,1002.6,1027.2,89.5
862,价寸,2021-01-11 10:00,1.8,296.8,2.8,0,1003.1,1027.7,97.3
862,价寸,2021-01-11 11:00,2,294.8,2.2,0,1002.9,1027.5,99.9
862,价寸,2021-01-11 12:00,2.7,276.1,2.4,0,1001.8,1026.3,95.4
862,价寸,2021-01-11 13:00,2.9,291.6,2.6,0,1000.6,1025.1,91.2
862,价寸,2021-01-11 14:00,1.9,300,2.4,.5,999.7,1024.3,96.4
862,价寸,2021-01-11 15:00,1.8,278.4,2.6,0,999.6,1024.2,99.8
862,价寸,2021-01-11 16:00,2.6,282.7,1.8,0,998.5,1023,94.7
862,价寸,2021-01-11 17:00,2.3,258.2,1.2,0,998,1022.5,94
862,价寸,2021-01-11 18:00,2,279.5,2.1,0,998.4,1022.9,95.6
862,价寸,2021-01-11 19:00,1.7,295.8,1.7,0,998.4,1022.9,95.7
862,价寸,2021-01-11 20:00,1.6,280.3,2.2,0,998.7,1023.3,95.8
862,价寸,2021-01-11 21:00,1.4,284.2,2.5,0,998.8,1023.4,98.6
862,价寸,2021-01-11 22:00,1.3,281.4,2.3,.5,998.5,1023.1,99.9
862,价寸,2021-01-11 23:00,1.4,266.4,2,0,997.8,1022.4,99.9
862,价寸,2021-01-12 00:00,1.6,277.5,3.6,.5,997.3,1021.8,99.9
862,价寸,2021-01-12 01:00,1.3,294.5,4.6,.5,997.1,1021.7,99.9
862,价寸,2021-01-12 02:00,.9,305.5,3.3,2.5,997.2,1021.8,99.9
862,价寸,2021-01-12 03:00,.9,311.5,2.5,2,996.9,1021.5,99.9
862,价寸,2021-01-12 04:00,1.5,290.1,4.5,.5,996.4,1020.9,94.9
862,价寸,2021-01-12 05:00,1.9,276.2,3.5,0,996.3,1020.8,85.3
862,价寸,2021-01-12 06:00,1.2,246.3,1.6,0,996.1,1020.6,89.8
862,价寸,2021-01-12 07:00,1.2,284,1.8,0,996,1020.5,87.9
862,价寸,2021-01-12 08:00,1.3,251,1.6,0,996.2,1020.7,87.8
862,价寸,2021-01-12 09:00,1.1,204.2,1.2,0,996.4,1021,94.8
862,价寸,2021-01-12 10:00,1.7,276.2,2.4,0,996.8,1021.3,87.4
862,价寸,2021-01-12 11:00,2,238.6,1.3,0,996.5,1021,90.2
862,价寸,2021-01-12 12:00,2.4,252.4,2.6,0,995.9,1020.3,89.6
862,价寸,2021-01-12 13:00,4,277,3.7,0,994.7,1018.9,77.1
862,价寸,2021-01-12 14:00,3.5,268,3.9,0,994.3,1018.6,80.8
862,价寸,2021-01-12 15:00,2.4,269.8,3.8,0,993.7,1018.1,94
862,价寸,2021-01-12 16:00,3.7,267,3,0,993.8,1018,90.4
862,价寸,2021-01-12 17:00,3.1,188.6,1.4,0,993.9,1018.2,92.6
862,价寸,2021-01-12 18:00,3.6,238.3,3.1,0,994,1018.2,75.6
862,价寸,2021-01-12 19:00,3.7,222.3,2.6,0,994.6,1018.8,73.4
862,价寸,2021-01-12 20:00,3.6,219,2.6,0,994.8,1019.1,73.1
862,价寸,2021-01-12 21:00,3.3,227.6,2.5,0,995,1019.3,73.3
862,价寸,2021-01-12 22:00,3.1,202.2,1.9,0,995.3,1019.6,73.1
862,价寸,2021-01-12 23:00,3,185.7,2.2,0,995.2,1019.5,75.2
862,价寸,2021-01-13 00:00,2.7,197.2,1.8,0,995,1019.4,73.9
862,价寸,2021-01-13 01:00,3.4,176,2.3,0,994.8,1019.1,72.5
862,价寸,2021-01-13 02:00,4.5,194.1,2.3,0,994.7,1018.9,70.8
862,价寸,2021-01-13 03:00,4.3,186.2,2.4,0,994.3,1018.5,72.1
862,价寸,2021-01-13 04:00,3.9,177.2,2.4,0,994.5,1018.7,74.6
862,价寸,2021-01-13 05:00,3.6,172.7,2.1,0,994.5,1018.7,75.6
862,价寸,2021-01-13 06:00,4.6,171.5,2.1,0,994.2,1018.4,73.6
862,价寸,2021-01-13 07:00,5.7,185.8,1.9,0,994.4,1018.5,70.3
862,价寸,2021-01-13 08:00,5.8,185.6,2.1,0,994.4,1018.5,67
862,价寸,2021-01-13 09:00,6.4,191.7,1.8,0,994.7,1018.7,67
862,价寸,2021-01-13 10:00,8.9,226.6,2.3,0,994.6,1018.3,59.3
862,价寸,2021-01-13 11:00,10.1,216,2.3,0,994.3,1018,54.3
862,价寸,2021-01-13 12:00,10.9,225.8,3.5,0,993.6,1017.2,52.7
862,价寸,2021-01-13 13:00,11.5,215.5,2.9,0,993.1,1016.6,53.2
862,价寸,2021-01-13 14:00,11.6,212.6,2.9,0,992.5,1016,56.2
862,价寸,2021-01-13 15:00,11.5,209.4,2.6,0,992.5,1016,58
862,价寸,2021-01-13 16:00,11.2,194.9,2.3,0,992.8,1016.3,57.7
862,价寸,2021-01-13 17:00,10,203.1,2.8,0,993.4,1017.1,62.8
862,价寸,2021-01-13 18:00,8.3,161.1,2,0,994.1,1017.9,66.1
862,价寸,2021-01-13 19:00,4.3,279.6,.8,0,994.5,1018.7,78
862,价寸,2021-01-13 20:00,5.5,191.4,1.9,0,994.7,1018.8,76
862,价寸,2021-01-13 21:00,3,213.3,1.5,0,995.2,1019.5,79.6
862,价寸,2021-01-13 22:00,.6,209.4,.9,0,995.7,1020.3,91.9
862,价寸,2021-01-13 23:00,.8,178.8,.5,0,995.8,1020.4,85.7
862,价寸,2021-01-14 00:00,.5,225.8,.8,0,995.8,1020.4,85.9
862,价寸,2021-01-14 01:00,.2,216,.7,0,996,1020.6,90.7
862,价寸,2021-01-14 02:00,-.6,164.7,.9,0,996.6,1021.3,90.5
862,价寸,2021-01-14 03:00,-.8,235.1,.9,0,996.8,1021.5,92.7
862,价寸,2021-01-14 04:00,1.5,248.3,1.9,0,996.6,1021.1,89.3
